epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.804,1.51091,1.99268,1.08902,0.44462,0.35747,0.35339,0.19644,1.43895,1.29824,1.04912,0.00332824,0.00332824,0.00332824
2,405.189,1.42349,1.21884,1.05562,0.61038,0.42202,0.45598,0.25506,1.39497,1.17149,1.03057,0.00659563,0.00659563,0.00659563
3,598.255,1.42644,1.13458,1.05105,0.61576,0.44065,0.46807,0.24838,1.42057,1.174,1.044,0.00979701,0.00979701,0.00979701
4,792.855,1.4115,1.05604,1.05154,0.70321,0.46111,0.5039,0.27176,1.39615,1.03306,1.03442,0.009703,0.009703,0.009703
5,985.431,1.3652,0.95537,1.0337,0.68678,0.5096,0.54606,0.29598,1.3816,0.92177,1.02336,0.009604,0.009604,0.009604
6,1178.44,1.33054,0.88604,1.0221,0.73372,0.50984,0.57314,0.31682,1.32385,0.87092,1.01214,0.009505,0.009505,0.009505
7,1370.54,1.30176,0.84723,1.01221,0.73281,0.50902,0.57276,0.31761,1.3265,0.87142,1.01144,0.009406,0.009406,0.009406
8,1563,1.27796,0.81139,1.00371,0.72249,0.54285,0.60266,0.3408,1.30458,0.82289,0.99873,0.009307,0.009307,0.009307
9,1756.85,1.25474,0.78319,0.99613,0.78865,0.55125,0.61368,0.34178,1.30162,0.79631,0.9938,0.009208,0.009208,0.009208
10,1949.36,1.2403,0.76335,0.98974,0.71597,0.58002,0.63078,0.35266,1.27876,0.77212,0.99181,0.009109,0.009109,0.009109
11,2141.9,1.22151,0.74368,0.98262,0.75125,0.584,0.64292,0.36239,1.28652,0.75876,0.99409,0.00901,0.00901,0.00901
12,2334.09,1.20594,0.72542,0.97682,0.77856,0.57837,0.65136,0.37408,1.26879,0.74872,0.98745,0.008911,0.008911,0.008911
13,2526.36,1.19396,0.71106,0.97321,0.78767,0.57501,0.64733,0.36716,1.26435,0.74899,0.98601,0.008812,0.008812,0.008812
14,2718.35,1.1829,0.69782,0.96928,0.76932,0.60307,0.66604,0.37532,1.25521,0.73927,0.98187,0.008713,0.008713,0.008713
15,2910.63,1.16772,0.68439,0.96279,0.76982,0.58935,0.66048,0.37797,1.24292,0.73871,0.97613,0.008614,0.008614,0.008614
16,3108.31,1.15599,0.67507,0.96042,0.76956,0.60433,0.66647,0.38406,1.24503,0.72101,0.97827,0.008515,0.008515,0.008515
17,3300.61,1.14618,0.66669,0.95675,0.79946,0.60732,0.67623,0.395,1.23279,0.70966,0.97342,0.008416,0.008416,0.008416
18,3492.87,1.13661,0.65692,0.95301,0.75634,0.62675,0.67188,0.38576,1.23422,0.70426,0.97691,0.008317,0.008317,0.008317
19,3685.22,1.13072,0.65012,0.95002,0.78787,0.6234,0.67737,0.39456,1.2338,0.71159,0.97383,0.008218,0.008218,0.008218
20,3877.46,1.11465,0.6397,0.94477,0.75613,0.63707,0.68257,0.39409,1.23172,0.70296,0.97565,0.008119,0.008119,0.008119
21,4069.91,1.11188,0.63444,0.94489,0.78572,0.60951,0.68352,0.39214,1.24226,0.70255,0.97803,0.00802,0.00802,0.00802
22,4264.37,1.10401,0.62795,0.94231,0.75696,0.63372,0.67892,0.39006,1.22229,0.70222,0.97203,0.007921,0.007921,0.007921
23,4456.71,1.09267,0.62047,0.93893,0.80245,0.63557,0.69638,0.39784,1.21863,0.6873,0.96822,0.007822,0.007822,0.007822
24,4649.16,1.08548,0.6151,0.93809,0.79585,0.62146,0.69172,0.39659,1.21929,0.68394,0.96926,0.007723,0.007723,0.007723
25,4841.65,1.07517,0.6063,0.93281,0.76917,0.62814,0.69143,0.39517,1.234,0.68344,0.97496,0.007624,0.007624,0.007624
26,5033.84,1.07385,0.60389,0.93366,0.78716,0.63701,0.69618,0.40588,1.21764,0.6854,0.96936,0.007525,0.007525,0.007525
27,5226.38,1.0662,0.59803,0.93082,0.7886,0.65552,0.70816,0.40811,1.22188,0.67429,0.97007,0.007426,0.007426,0.007426
